,name,address,city,state,postal_code,stars,review_count,is_open,attributes,categories,hours
10,Espresso Minute,334 Mass Ave,Boston,MA,02115,4.5,7,0,"{'NoiseLevel': ""'quiet'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'True'}","['Creperies', 'Restaurants', 'Food', 'Coffee&Tea', 'Breakfast&Brunch']","{'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '9:0-16:0'}"
557,Lilly's Gourmet Pasta Express,1528 Tremont St,Boston,MA,02120,4.0,163,1,"{'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True'}","['Restaurants', 'Italian']","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '12:0-22:0'}"
583,Amelia's Taqueria,309 Huntington Ave,Boston,MA,02115,3.5,160,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","['Restaurants', 'Mexican']","{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}"
656,Il Mondo II,182 Massachusetts Ave,Boston,MA,02115,3.0,77,0,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'free'"", 'GoodForKids': 'True'}","['Pizza', 'Restaurants']","{'Monday': '10:30-1:0', 'Tuesday': '10:30-1:0', 'Wednesday': '10:30-1:0', 'Thursday': '10:30-1:0', 'Friday': '10:30-1:0', 'Saturday': '10:30-1:0', 'Sunday': '10:30-1:0'}"
851,Boloco Northeastern,"Marino Center Northeastern University, 359 Huntington Ave",Boston,MA,02115,3.5,125,0,"{'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""'none'"", 'BikeParking': 'True'}","['Food', 'Mexican', 'Restaurants', 'JuiceBars&Smoothies', 'FastFood']","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
1049,Boba Me,1520 Tremont St,Boston,MA,02120,4.5,50,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'Caters': 'True'}","['Vietnamese', 'Restaurants', 'JuiceBars&Smoothies', 'Food', 'BubbleTea', 'IceCream&FrozenYogurt']","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
1161,Uno Pizzeria & Grill,280 Huntington Ave.,Boston,MA,02115,2.5,150,0,"{'GoodForKids': 'True', 'OutdoorSeating': 'True', 'BYOBCorkage': ""'no'"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'WiFi': ""'free'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'True'}","['Gluten-Free', 'Pizza', 'American(Traditional)', 'Restaurants']","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:30-0:30'}"
1481,Subway,"1578 Tremont St, Unit 1",Boston,MA,02120,3.0,9,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'no'"", 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'True'}","['Sandwiches', 'FastFood', 'Restaurants']","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0'}"
1697,McDonald's,340 Longwood Ave,Boston,MA,02115,3.0,12,1,"{'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'very_loud'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'DriveThru': 'True', 'WiFi': ""'free'""}","['FastFood', 'Restaurants', 'Food', 'Coffee&Tea', 'Burgers']","{'Monday': '6:30-22:0', 'Tuesday': '6:30-22:0', 'Wednesday': '6:30-22:0', 'Thursday': '6:30-22:0', 'Friday': '6:30-22:0', 'Saturday': '7:0-20:0', 'Sunday': '7:30-20:0'}"
1706,JP Licks,1618 Tremont St,Mission Hill,MA,02120,3.5,113,1,"{'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'HappyHour': 'True', 'RestaurantsDelivery': 'True'}","['IceCream&FrozenYogurt', 'Food', 'Kosher', 'Coffee&Tea', 'Restaurants']","{'Monday': '6:30-23:0', 'Tuesday': '6:30-23:0', 'Wednesday': '6:30-23:0', 'Thursday': '6:30-23:0', 'Friday': '6:30-23:0', 'Saturday': '9:0-23:0', 'Sunday': '9:0-23:0'}"
